title,box_off_num
용서는 없다,4024553.8444444444
아빠가 여자를 좋아해,1347893.048809524
하모니,1297712.2627777776
의형제,1445313.8062962964
평행 이론,620022.5972222222
회오리 바람,18297.84925725261
경계도시 2,61502.06441387468
이웃집 남자,18666.644725084636
아마존의 눈물 극장판,12826.442514340273
반가운 살인자,464099.2676825397
집 나온 남자들,271794.87682823493
베스트셀러,1764959.217777778
작은 연못,377643.3774725274
경,12826.442514340273
대한민국 1%,786011.4146947496
포화 속으로,4071696.672222222
나쁜 놈이 더 잘 잔다,15193.76224844912
맨발의 꿈,2337781.676190476
요술,370960.1056070736
마법천자문: 대마왕의 부활을 막아라,72473.43950331693
인플루언스,12826.442514340273
미스터 좀비,12679.641521824067
김복남 살인사건의 전말,530080.2232950192
엄지아빠,12838.52562985179
탈주,15173.135018721085
해결사,646109.4602503052
할,12826.442514340273
된장,2076379.8955555556
조금만 더 가까이,19797.841562617847
우리 만난 적 있나요,178444.925221491
쩨쩨한 로맨스,2722615.0553174606
용서,11742.804938157531
브라보! 재즈 라이프,518551.19903281383
카페 느와르,1761356.7057692306
오래된 인력거,13017.049647908514
창피해,720072.6820116428
"양 한 마리, 양 두 마리",518681.7056994805
하얀 정글,13017.049647908514
다슬이,13017.049647908514
REC 알이씨,11742.804938157531
량강도 아이들,729366.6367803025
티끌모아 로맨스,12301.368023467343
더 킥,68069.47683769194
커플즈,1581355.873812204
오늘,1145641.694973545
완득이,672194.3027777779
은어,12826.442514340273
고래를 찾는 자전거,21739.19944319407
도가니,285549.67986312666
겨울냄새,13781.941307545503
환타스틱 모던가야그머,13613.744815056021
블라인드,733611.4831746032
링크,69676.78085030845
퀵,850166.7902222223
모비딕,1000135.6830158731
굿바이 보이,899734.7648103947
종로의 기적,410666.8758949483
회초리,819053.8567460317
체포왕,1041518.8451851852
세상에서 가장 아름다운 이별,5655743.252857144
나는 아빠다,548660.1069963371
수상한 고객들,3484912.0222222223
수상한 이웃들,18074.507355786147
돌아오는 길,12826.442514340273
우리 이웃의 범죄,107031.01951090185
엄마는 창녀다,12826.442514340273
위험한 상견례,958043.6711111111
간증,15568.960459328011
"사랑한다, 사랑하지 않는다",984528.094373143
"혜화, 동",150532.00806053277
글러브,5840630.05
가문의 귀환,546781.7491442375
잔혹한 앵글의 로망스,11742.804938157531
나의 PS 파트너,2064079.3436507934
롤플레이,328665.0503743175
마티나,11742.804938157531
음치 클리닉,2609700.8777777776
남영동1985,16365.319119554686
돈 크라이 마미,74132.13645327774
반드시 크게 들을 것 2 : Wild Days,11742.804938157531
범죄소년,16448.18850803118
내가 살인범이다,3058886.5505555556
터치,16553.741999537255
늑대소년,4159298.8
맥코리아,13072.304896309664
용의자X,3101132.4622222227
하나안,12838.52562985179
투 올드 힙합 키드,12826.442514340273
한경직,18308.87718775999
미운오리새끼,918452.8099836819
황제펭귄 펭이와 솜이,18308.87718775999
두 개의 문,16299.324990975787
I AM,599185.7598823209
후궁 : 제왕의 첩,2549866.854444444
"안녕, 하세요!",1043365.5802104177
천국의 아이들,334852.24276966375
할머니는 일학년,17659.549659184922
두레소리,15809.448069907017
"봄, 눈",305279.42952104873
은교,1043061.7496296295
간기남,1948222.8134920634
시체가 돌아왔다,1246301.697777778
말하는 건축가,13140.097868631477
밀월도 가는 길,15961.62383381361
파파,681448.0346666666
점박이:한반도의 공룡3D,279276.8478686509
댄싱퀸,3494568.3666666667
누구의 딸도 아닌 해원,12826.442514340273
신세계,3777198.9444444445
굿바이 홈런,14231.193890757922
불륜의 시대,12826.442514340273
남쪽으로 튀어,1723689.5888888887
좋은 친구들,1626779.4355555556
지슬 - 끝나지 않은 세월 2,16017.764375823323
누구나 제 명에 죽고 싶다,15205.845363960638
사이코메트리,1887138.87
환상속의 그대,37330.11034573619
몽타주,2845153.608888889
"힘내세요, 병헌씨",13401.51610583155
꼭두각시,12445.862255366193
홀리,14146.76556827583
마이 라띠마,788917.8351851851
더 테러 라이브,793518.3504761903
슈퍼피쉬 - 끝없는 여정,18308.87718775999
콩가네,18627.345900976834
허풍,13401.51610583155
젊은 엄마,12826.442514340273
노라노,14231.193890757922
노브레싱,316103.5909162939
말하는 건축 시티:홀,15701.04934013027
댄서김의 은밀한 교수법,41577.934391090974
소원,1411329.3
고양이 소녀,11742.804938157531
롤플레이 2 : 동침,11742.804938157531
동창생,1139650.7284126985
용의자,8096505.6866666665
미녀전쟁,667313.4052763501
캐치미,1567770.887047619
그 강아지 그 고양이,391518.1320564585
화려한 외출,328546.31020337733
오하이오 삿포로,76184.50744553607
마이 리틀 히어로,6487576.483333333
박수건달,5458827.944444445
배꼽,374046.6542503418
나가요 미스콜,14146.76556827583
우아한 거짓말,1128592.329507101
미스터 컴퍼니,12826.442514340273
우리별 일호와 얼룩소,47189.22390209266
찌라시: 위험한 소문,2235058.16031746
조선미녀삼총사,1474351.3228042326
만찬,158191.2581183748
한 번도 안 해본 여자,46248.60745588833
살인자,68841.09408140274
  이것이 우리의 끝이다,88991.75656983284
그댄 나의 뱀파이어,12670.329137362309
황제를 위하여,577254.1218376069
레디액션! 폭력영화,30894.747386457646
스퀴시랜드,15110.870084529548
우는 남자,2226234.9288888886
하이힐,2351077.907777778
도희야,194814.16326467684
표적,758039.993821734
10분,743557.8280247876
메이크 유어 무브,1786821.2510774592
카토 프로젝트,18308.87718775999
녀녀녀,332170.0668063223
방황하는 칼날,2207261.7084126985
바리새인,12826.442514340273
욕망의 독: 중독,12433.779139854676
설계,12433.779139854676
레쓰링,370087.1661959221
원 컷 - 어느 친절한 살인자의 기록,12679.641521824067
픽업 아티스트,25698.88647962666
옹녀뎐,12826.442514340273
왓니껴,1143803.4001842372
족구왕,90370.43204810956
내 연애의 기억,12838.52562985179
바세코의 아이들,18308.87718775999
명량,5554123.122222223
군도: 민란의 시대,5642230.322222223
산타바바라,15992.177741406867
나는 야한 여자가 좋다,12826.442514340273
숙희,12826.442514340273
더 테너 리리코 스핀토,3194620.234304584
기술자들,2018622.4844444443
신화 라이브 3D 더 레전드 컨티뉴스,967455.3407772859
악사들,11742.804938157531
울언니,12541.220431115278
정사: 위험한 성적유희,328546.31020337733
레디액션 청춘,4622057.572222222
"제자, 옥한흠",13613.744815056021
환상,12826.442514340273
위층여자,12826.442514340273
가자! 장미여관으로 3 - 방황,12838.52562985179
나는 야한 여자가 좋다 3,12826.442514340273
스물,1458364.026190476
그라운드의 이방인,715061.1919423859
살인의뢰,1280544.6222222224
살인캠프,12433.779139854676
헬머니,685057.3252380952
조류인간,68810.3322055156
최강전사 미니특공대 : 새로운 악당의 습격,74022.64862794692
생각보다 맑은,45674.51724888443
고양이 장례식,19504.81903556931
설해,104842.49211944145
나의 절친 악당들,1003769.351306043
연평해전,2634171.2800000003
극비수사,1224481.0246031745
성난 화가,52722.68397182351
은밀한 유혹,1650755.6199999999
혜경궁 홍씨,260254.6932777608
무뢰한,2011849.2547619047
간신,2906442.711111111
연애의 맛,630161.717037037
잡식가족의 딜레마,16485.0845203581
플랑크 상수,12826.442514340273
장수상회,828068.127037037
파울볼,14231.193890757922
춘희막이,12826.442514340273
덫: 치명적인 유혹,15625.101001337727
션샤인 러브,310020.66974318
사도,3699270.235555555
돼지 같은 여자,12623.833106487304
사랑이 이긴다,15153.860634175544
슈퍼레이서 엔지,613806.2170389498
제 7기사단,15381.451324637392
